Altium Designer Pick and Place Locations
C:\Users\wyatt\OneDrive\Documents\PCB Project\H0AR4x-Working\Released_new 12-1-2025 12-16-12 AM\Pick Place\Pick Place for H0AR4_PCB.txt

========================================================================================================================
File Design Information:

Date:       01/12/25
Time:       00:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                       
VDD2       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_U    650.389       -0.001        0        ""                                                                                                                
SU6        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_U     -0.001        563.389       60       ""                                                                                                                
SU4        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_U     -487.801      -281.501      180      ""                                                                                                                
SU3        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_U     -0.001        -561.501      240      ""                                                                                                                
SU2        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_U     487.799       -281.895      300      ""                                                                                                                
SU1        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_U     487.799       281.499       0        ""                                                                                                                
SD6        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_D     -0.001        563.389       60       ""                                                                                                                
SD4        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_D     -487.801      -281.501      180      ""                                                                                                                
SD3        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_D     -0.001        -561.501      240      ""                                                                                                                
SD2        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_D     487.799       -281.895      300      ""                                                                                                                
SD1        HEXABIT_UART_PORT          TopLayer    HEXABIT_UART_PORT_D     487.799       281.499       0        ""                                                                                                                
GND6       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    -325.201      563.389       60       ""                                                                                                                
GND5       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    -650.391      -0.001        120      ""                                                                                                                
GND4       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    -325.201      -563.391      180      ""                                                                                                                
GND3       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    325.199       -563.391      240      ""                                                                                                                
GND2       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    650.389       -0.001        300      ""                                                                                                                
GND1       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_D    325.199       563.389       0        ""                                                                                                                
VDD1       HEXABIT_UART_PORT          TopLayer    HEXABIT_POWER_PORT_U    325.199       563.389       60       ""                                                                                                                
